node1,node2,TP2_T7,TP2_T9,T7,T8,T9
FBXW5,SMURF2,0-1,1-0,0,1,0
CHD3,HDAC1,0,1-0,1,1,0
CENPA,ZW10,0-1,1-0,0,1,0
ITGB1,PARVB,0-1,0,0,1,1
ARFGAP1,TMED2,0-1,1-0,0,1,0
MRPL11,MRPS26,0-1,1-0,0,1,0
ATP6V0D1,ATP6V1C2,0-1,1-0,0,1,0
NOB1,WDR46,0-1,1-0,0,1,0
COPG1,TMED9,0-1,1-0,0,1,0
ALYREF,HNRNPU,0-1,1-0,0,1,0
PLA2G4A,PTDSS2,0-1,1-0,0,1,0
PARK7,SNCA,0-1,1-0,0,1,0
MRPL13,MRPL3,0-1,1-0,0,1,0
ERBB2,PIK3CD,0-1,0,0,1,1
CLTA,EZR,1-0,0,1,0,0
GNAI3,GNG2,0-1,1-0,0,1,0
MAN1B1,MANEA,0-1,1-0,0,1,0
MYD88,S100A8,0,1-0,1,1,0
CPSF4,FUS,1-0,0,1,0,0
CDK1,CETN2,0-1,0,0,1,1
RBCK1,USP2,0-1,1-0,0,1,0
H2AFX,MBD3,0-1,1-0,0,1,0
MED1,NCOA6,0-1,1-0,0,1,0
ARPC2,MYO1C,0-1,1-0,0,1,0
BUB1,SMC3,0,0-1,0,0,1
RPL4,RPS9,0-1,1-0,0,1,0
RNPS1,SRSF3,0-1,1-0,0,1,0
PPP5C,YWHAB,0-1,1-0,0,1,0
EGFR,PIK3CD,0,1-0,1,1,0
ANXA1,F2R,1-0,0,1,0,0
EGR2,SUZ12,0-1,1-0,0,1,0
RPL11,TPT1,1-0,0,1,0,0
MCM5,RRM2,0,0-1,0,0,1
KLHL25,SPSB2,0-1,1-0,0,1,0
TBCB,TUBB2A,0,0,1,1,1
H2AFX,STAG1,0-1,1-0,0,1,0
RPL18A,RPS8,0-1,1-0,0,1,0
PPP3R1,WDR82,0-1,1-0,0,1,0
MRPL12,MRPS18B,0-1,0,0,1,1
H2AFX,UBTF,0-1,0,0,1,1
A2M,THBS1,0-1,0,0,1,1
PDCD4,VMP1,0-1,1-0,0,1,0
TARS,YARS,1-0,0,1,0,0
PPIH,PQBP1,0-1,1-0,0,1,0
RPN2,RPS3,0-1,1-0,0,1,0
DPYSL3,UMPS,0,0-1,0,0,1
PSMB10,USP14,1-0,0,1,0,0
RPL18,RPS24,0-1,1-0,0,1,0
COL7A1,PLOD3,0-1,1-0,0,1,0
B4GALT1,FUT1,0,1-0,1,1,0
ANKRD28,PPP6R1,0-1,1-0,0,1,0
AK3,NT5E,0-1,1-0,0,1,0
SRSF3,THOC3,0-1,1-0,0,1,0
MRPS15,MRTO4,0-1,1-0,0,1,0
GTF3A,POLR3D,0-1,1-0,0,1,0
RPL27,RPS27L,0-1,1-0,0,1,0
GDNF,SHC1,0-1,1-0,0,1,0
MRPS15,RPS2,0-1,1-0,0,1,0
ARF4,KIF22,1-0,0,1,0,0
SRSF2,TXNL4A,0,1-0,1,1,0
PRKDC,XRCC6,0-1,1-0,0,1,0
LSM4,NCBP2,0-1,1-0,0,1,0
DNAJC8,LSM3,0-1,1-0,0,1,0
BMS1,EXOSC10,0-1,1-0,0,1,0
RPL17,RPL34,0-1,1-0,0,1,0
NBAS,TMED9,0-1,1-0,0,1,0
RLIM,TRIM11,0,1-0,1,1,0
PUM3,SDAD1,0-1,1-0,0,1,0
CANX,HLA-DPB1,0,1-0,1,1,0
MSH2,RAD51,0-1,1-0,0,1,0
RPL5,SEC61B,0-1,1-0,0,1,0
PCBP2,SNRPB2,0-1,1-0,0,1,0
MAPK1,PRKCA,0-1,0,0,1,1
CTTN,LAMB1,0,1-0,1,1,0
SNAPC4,TAF5,0-1,1-0,0,1,0
RPL15,RPS9,0-1,1-0,0,1,0
SDAD1,TSR1,0-1,1-0,0,1,0
HNRNPA3,SRSF3,0-1,1-0,0,1,0
CIT,RHOA,0,0-1,0,0,1
ILK,RHOG,0-1,1-0,0,1,0
GNAO1,RHOA,0-1,1-0,0,1,0
CDC20,CDC27,0-1,1-0,0,1,0
RPL26,RPL29,0-1,1-0,0,1,0
FBXL20,RBCK1,1-0,0,1,0,0
RPL32,RPL37,0,1-0,1,1,0
ZC3H8,ZNF143,0-1,0,0,1,1
AK3,PKM,0-1,1-0,0,1,0
COL18A1,COL4A2,0,0-1,0,0,1
NOB1,TSR1,0,0-1,0,0,1
CD2BP2,CPSF2,0-1,1-0,0,1,0
DDX56,ESF1,1-0,0,1,0,0
RPS27,RPS27A,0-1,1-0,0,1,0
GNG11,GNG2,0,1-0,1,1,0
MTX1,SAMM50,0-1,1-0,0,1,0
CENPE,KIF26A,0-1,1-0,0,1,0
CCNB1,NDC80,0,0-1,0,0,1
RNF123,RNF4,0-1,1-0,0,1,0
H2AFV,PBX1,0-1,1-0,0,1,0
ARSF,STS,0,0-1,0,0,1
APP,TRH,0,0-1,0,0,1
GGT6,GSTO1,0-1,1-0,0,1,0
ADSL,PFAS,0-1,1-0,0,1,0
FBXO17,KLHL42,0-1,1-0,0,1,0
EEF1A1,TPT1,0-1,1-0,0,1,0
BCAR1,LYN,0-1,1-0,0,1,0
RPL13,RPS27A,0-1,1-0,0,1,0
NOP56,RPS4Y1,0-1,1-0,0,1,0
MRPS14,RPS7,0-1,1-0,0,1,0
CCAR1,EFTUD2,0-1,1-0,0,1,0
RPL6,SRP72,0-1,1-0,0,1,0
MRPL18,MRPS12,0-1,1-0,0,1,0
SERPINA3,TGFB3,0,0,1,1,1
FBL,GMPS,0-1,1-0,0,1,0
EIF3E,RPS6,0,1-0,1,1,0
CUL1,SIAH2,0-1,1-0,0,1,0
GPX1,GSTO1,0-1,1-0,0,1,0
HSPD1,SLC25A13,0-1,1-0,0,1,0
EIF4H,PFAS,0-1,1-0,0,1,0
ACTN1,BCAR1,0-1,1-0,0,1,0
PSMA2,PSMD1,0-1,1-0,0,1,0
FBXO22,LRR1,0,0-1,0,0,1
INPP4B,SYNJ2,0-1,1-0,0,1,0
CENPX,FANCA,0-1,1-0,0,1,0
ACTR2,EPN1,0-1,1-0,0,1,0
HNRNPA1,HNRNPM,0-1,1-0,0,1,0
RPL18,RPS4X,0,1-0,1,1,0
POLR2E,POLR2L,0-1,1-0,0,1,0
BUB1B,PPP1CC,0-1,1-0,0,1,0
HPRT1,NT5C3B,0-1,1-0,0,1,0
PTGES2,PTGS1,0-1,1-0,0,1,0
ARHGAP11A,RAC1,0,0-1,0,0,1
HNRNPA0,PTBP1,0,1-0,1,1,0
MRPS12,MRPS18B,0,0-1,0,0,1
GUK1,NT5C,0-1,1-0,0,1,0
SF3B4,U2AF2,0-1,1-0,0,1,0
CHD3,HIST1H2BD,0,1-0,1,1,0
KLHL42,KLHL9,0-1,1-0,0,1,0
MRPL23,MRPL38,0-1,1-0,0,1,0
CTSD,HLA-DPB1,0,1-0,1,1,0
MRPS14,MRTO4,1-0,0,1,0,0
NUP62,THOC3,0-1,1-0,0,1,0
ECM1,IGF2,0,0-1,0,0,1
RPL18A,RPL22L1,0-1,1-0,0,1,0
RPL10,RPL17,0-1,1-0,0,1,0
BMS1,NIFK,0,1-0,1,1,0
FBXW5,LRSAM1,0-1,1-0,0,1,0
MRPL12,MRPL18,0-1,1-0,0,1,0
NIFK,RSL1D1,0,1-0,1,1,0
CUL5,UBE2L6,0-1,1-0,0,1,0
DEGS1,SMPD1,0-1,1-0,0,1,0
BARD1,RNF2,0,1-0,1,1,0
CRK,VWF,0,0,1,1,1
APP,GNG12,0-1,0,0,1,1
RPL19,RPS5,0-1,1-0,0,1,0
ATF2,SERPINB5,0-1,1-0,0,1,0
GNG11,NPFFR1,0,1-0,1,1,0
FOXO3,MAPK3,1-0,0,1,0,0
SF3B2,SF3B5,0-1,1-0,0,1,0
RPS23,RPS27,0-1,1-0,0,1,0
ANAPC5,RBCK1,1-0,0-1,1,0,1
ALYREF,TXNL4A,1-0,0,1,0,0
ACTB,PPP1CC,0-1,1-0,0,1,0
PQBP1,YBX1,0-1,1-0,0,1,0
HDAC1,SMARCA5,1-0,0,1,0,0
ATF6,HSPA5,0,1-0,1,1,0
DVL1,PSME4,0-1,1-0,0,1,0
MAP4K4,TXN,0-1,1-0,0,1,0
BIRC5,CASP3,0-1,1-0,0,1,0
LRR1,SOCS1,0-1,1-0,0,1,0
MRPL28,TUFM,0-1,1-0,0,1,0
GSS,GSTA1,0,0,1,1,1
HDAC1,RBBP7,0,1-0,1,1,0
POLD4,USP43,0-1,1-0,0,1,0
DDX56,NIFK,0-1,1-0,0,1,0
EXOSC4,LAS1L,0,1-0,1,1,0
MAPK3,VCL,0-1,1-0,0,1,0
LPIN1,PRKCA,0-1,1-0,0,1,0
RPL17,RPS5,0-1,1-0,0,1,0
MIB2,UBA3,0-1,1-0,0,1,0
SRSF3,YBX1,0-1,0,0,1,1
RPL18,RPS18,0-1,1-0,0,1,0
AP1S1,TMED7,0-1,1-0,0,1,0
FBL,NOL6,0-1,1-0,0,1,0
PDS5A,SMC3,0-1,1-0,0,1,0
EIF2S2,RPL14,0-1,1-0,0,1,0
MEX3C,NEDD4L,0-1,1-0,0,1,0
EIF4A1,RPS2,0-1,1-0,0,1,0
SPSB2,UBE2N,1-0,0,1,0,0
KTN1,RAC1,0-1,1-0,0,1,0
COPG1,TMED2,0-1,1-0,0,1,0
PQBP1,SRRM1,0-1,1-0,0,1,0
LRR1,UBE2S,0-1,1-0,0,1,0
SDAD1,WDR74,0-1,1-0,0,1,0
CENPF,PDS5A,0-1,1-0,0,1,0
RPL35,RPS9,0-1,1-0,0,1,0
PRPF19,SF3B3,0-1,1-0,0,1,0
FBLIM1,FLNB,0-1,1-0,0,1,0
RASA3,RASAL1,0,1-0,1,1,0
RPL38,RPL41,0-1,1-0,0,1,0
GGT6,GPX4,0-1,1-0,0,1,0
SNRPC,SRRM1,0-1,1-0,0,1,0
RECQL5,TOP2B,0-1,1-0,0,1,0
RPL9,RPS16,0-1,1-0,0,1,0
RPL35A,RPS27A,0-1,1-0,0,1,0
IMP3,RRP36,0-1,1-0,0,1,0
SF1,SNRNP70,0-1,1-0,0,1,0
APP,CCL21,0,0,1,1,1
GADD45GIP1,MRPL3,0-1,1-0,0,1,0
CSNK1D,NOB1,0-1,1-0,0,1,0
NUP35,RAN,0-1,1-0,0,1,0
SNRPE,SNRPG,0-1,1-0,0,1,0
CEP78,TUBG2,0-1,1-0,0,1,0
ANAPC5,PSMD13,0,0-1,0,0,1
NOB1,RPS9,0-1,1-0,0,1,0
CUL3,UBR4,0-1,1-0,0,1,0
MTOR,YWHAE,0-1,1-0,0,1,0
ELAVL2,U2AF1,0-1,1-0,0,1,0
CENPW,NPM1,0-1,1-0,0,1,0
MRPL44,MRRF,0-1,1-0,0,1,0
FURIN,MMP15,1-0,0-1,1,0,1
HNRNPM,PCBP2,0-1,1-0,0,1,0
B2M,TFRC,0,1-0,1,1,0
SRRM1,WBP4,0-1,1-0,0,1,0
LPXN,PTK2,0-1,0,0,1,1
NAA10,NAA38,0-1,1-0,0,1,0
EPHB3,LYN,1-0,0,1,0,0
PIK3CD,PIP5K1C,0,1-0,1,1,0
KIF13B,KIF22,0-1,1-0,0,1,0
GTF2H3,RAD23A,0-1,1-0,0,1,0
ARHGAP39,RHOC,0-1,1-0,0,1,0
EGFR,LPAR3,0,1-0,1,1,0
RPL19,RPL27,0-1,1-0,0,1,0
ETV4,STK11,0-1,1-0,0,1,0
CDC20,LRR1,0,0-1,0,0,1
DHX9,WBP4,0-1,1-0,0,1,0
GIPC1,SDC4,0-1,1-0,0,1,0
RPL14,RPL30,0-1,1-0,0,1,0
ASB1,ZBTB16,1-0,0,1,0,0
CDK1,E2F4,0,0-1,0,0,1
HNRNPD,SNRNP70,0-1,1-0,0,1,0
MRPL11,RPL8,0-1,1-0,0,1,0
H2AFY2,HDAC1,1-0,0,1,0,0
HNRNPA1,SF3B2,0-1,1-0,0,1,0
RPS27A,RPS7,0-1,1-0,0,1,0
A2M,FN1,0-1,0,0,1,1
RPS9,SEC61B,0-1,1-0,0,1,0
RAB1B,SEC16A,0-1,1-0,0,1,0
LRR1,ZBTB16,1-0,0,1,0,0
RAD51D,XRCC2,0-1,1-0,0,1,0
MTA2,TTF1,0-1,1-0,0,1,0
HSP90AB1,PTGES3,0-1,0,0,1,1
COG2,SNAP29,0-1,0,0,1,1
MAPK3,PIK3CD,0,0,1,1,1
FBL,UTP4,0-1,1-0,0,1,0
GNA15,GNG11,0,0,1,1,1
RHOA,TGFBR2,0-1,1-0,0,1,0
IMP3,UBA52,0,1-0,1,1,0
NRAS,RASA3,0,1-0,1,1,0
EPHB4,YES1,0,0-1,0,0,1
HNRNPM,RBMX,0-1,1-0,0,1,0
RPL18,RPLP2,0-1,1-0,0,1,0
CDC20,KIF20A,0,0-1,0,0,1
PAK2,PSMB10,0,1-0,1,1,0
HIST1H2BD,RAD21,0-1,1-0,0,1,0
ACO2,GRPEL2,0,0,1,1,1
LSM3,PQBP1,0-1,1-0,0,1,0
ARHGEF2,MAP3K11,0-1,1-0,0,1,0
EXOSC4,PDCD11,0-1,1-0,0,1,0
PTPN1,TXN,0-1,1-0,0,1,0
RPL13A,RPS11,0-1,1-0,0,1,0
LSM4,YBX1,0-1,1-0,0,1,0
ARSJ,SUMF2,0-1,1-0,0,1,0
RBMX,SNRNP70,0-1,1-0,0,1,0
QTRT1,USP14,0-1,1-0,0,1,0
DDX56,PWP1,0-1,1-0,0,1,0
EFL1,MRPL16,0-1,0,0,1,1
ADCY3,PRKCE,0,0-1,0,0,1
NDN,SORT1,0,1-0,1,1,0
MRPL1,MRPL13,1-0,0,1,0,0
RPL27,RPS3,0-1,1-0,0,1,0
NDUFA7,NDUFS6,0,1-0,1,1,0
CENPF,KNL1,0-1,1-0,0,1,0
AP2S1,UBB,0-1,1-0,0,1,0
EIF2AK2,EIF2S1,0-1,1-0,0,1,0
BCL2,CASP3,0-1,1-0,0,1,0
SNRPN,USP39,0-1,1-0,0,1,0
EFL1,MRPL1,0-1,0,0,1,1
RPL13A,RPS27,0-1,1-0,0,1,0
IQGAP1,SRC,0,0,1,1,1
PPFIA3,UNC13B,0-1,1-0,0,1,0
TIMM21,TIMM22,0-1,1-0,0,1,0
PPIL1,SF3B6,0-1,1-0,0,1,0
HMGN1,HMGN2,0,1-0,1,1,0
AURKB,NOC2L,0-1,0,0,1,1
SNRPA1,TFIP11,0,0-1,0,0,1
ACTN4,RAB5A,0-1,1-0,0,1,0
CDCA8,NDEL1,0-1,1-0,0,1,0
RPL18,RPL22,1-0,0,1,0,0
H2AFJ,PLK1,0-1,1-0,0,1,0
GTF3C5,POLR3E,0-1,0,0,1,1
EXOSC9,NOC4L,0-1,1-0,0,1,0
ACTN4,MAGED2,0-1,1-0,0,1,0
FBL,NOB1,0-1,1-0,0,1,0
HSPD1,MYD88,0-1,1-0,0,1,0
ADSL,AMPD2,0-1,1-0,0,1,0
RB1,SMC2,0-1,1-0,0,1,0
ARF1,KIF20B,0-1,1-0,0,1,0
EFNA3,ROCK2,0,1-0,1,1,0
BDNF,RAP1B,0,0-1,0,0,1
EIF5B,RPL10,1-0,0,1,0,0
EIF5B,RPL4,0-1,1-0,0,1,0
MRPL39,MRPS27,1-0,0,1,0,0
BIN1,RAB5A,0-1,0,0,1,1
EBNA1BP2,FBL,0-1,1-0,0,1,0
MRPL44,MRPS23,0-1,1-0,0,1,0
UCHL5,USP15,0,0-1,0,0,1
ANAPC11,BRCA1,0-1,1-0,0,1,0
HSPA2,HSPA6,0-1,1-0,0,1,0
GNA11,SLC9A3R1,0-1,1-0,0,1,0
KLHL5,ZBTB16,1-0,0,1,0,0
RPL18,RPS27A,0-1,1-0,0,1,0
TUBB2A,TUBB6,0-1,1-0,0,1,0
AGL,GBE1,0-1,1-0,0,1,0
CDK1,NUP93,0,0-1,0,0,1
MRPL12,RPS2,0-1,1-0,0,1,0
ANK3,SPTBN2,0-1,1-0,0,1,0
MGRN1,RNF130,0,1-0,1,1,0
TIMM44,TIMM50,0-1,1-0,0,1,0
POLR2E,SF3B2,0-1,1-0,0,1,0
POLD1,POLD4,0,1-0,1,1,0
CALML5,TGM3,0-1,1-0,0,1,0
GPT2,NAGS,0,1-0,1,1,0
HECW2,UBE2V1,0-1,1-0,0,1,0
NFKB1,PSMB10,0-1,1-0,0,1,0
SLC25A4,TOMM40,0,0,1,1,1
SNRPN,SRSF2,0-1,1-0,0,1,0
ELAVL2,SRSF7,0-1,1-0,0,1,0
BUB3,CCNB1,0-1,1-0,0,1,0
H2AFX,HDAC1,0,1-0,1,1,0
HIST1H2AC,SIN3B,0,1-0,1,1,0
EIF5B,RPL8,0-1,1-0,0,1,0
MYH9,MYO1C,0-1,1-0,0,1,0
ANAPC1,KLHL42,1-0,0,1,0,0
H2AFV,UBTF,0-1,1-0,0,1,0
PTK2,TLN1,0-1,1-0,0,1,0
GPC1,SRC,0-1,0,0,1,1
RPS15A,RPS3A,0-1,1-0,0,1,0
ANAPC11,RNF7,0-1,1-0,0,1,0
RPL29,RPS7,0,1-0,1,1,0
AHCTF1,ZW10,0-1,1-0,0,1,0
RPL26L1,RPN1,1-0,0,1,0,0
NME1,POLR2L,0-1,1-0,0,1,0
RPL10A,RPS27A,0-1,1-0,0,1,0
RPL6,RPS5,0-1,1-0,0,1,0
APBB1,CD82,0-1,0,0,1,1
PIK3CD,PTK2,0-1,1-0,0,1,0
KLHL25,RBCK1,0-1,1-0,0,1,0
COL4A2,SERPINH1,0-1,0,0,1,1
ORC2,POLE4,0-1,1-0,0,1,0
HRAS,YES1,0-1,1-0,0,1,0
NDUFAB1,NDUFS5,0,1-0,1,1,0
ANAPC13,MGRN1,0,1-0,1,1,0
TMED9,YKT6,0-1,1-0,0,1,0
FBXW5,FBXW8,0-1,1-0,0,1,0
RPL13,UBA52,1-0,0,1,0,0
DHX9,SF3B3,1-0,0,1,0,0
MRPL39,MRPS10,0-1,1-0,0,1,0
MRPS35,TUFM,0-1,1-0,0,1,0
RRP9,UTP4,0-1,1-0,0,1,0
DMAP1,RUVBL1,0-1,1-0,0,1,0
NUDC,NUP37,0-1,1-0,0,1,0
CDC20,FBXO2,0-1,1-0,0,1,0
ITGA2,LAMA3,0-1,1-0,0,1,0
EXOSC10,TEX10,0,1-0,1,1,0
ARAP2,RAC2,0-1,1-0,0,1,0
GNAO1,MAPK3,1-0,0,1,0,0
RING1,SUMO3,0-1,1-0,0,1,0
RUVBL1,RUVBL2,0-1,0,0,1,1
GNG10,PTGER3,0,0-1,0,0,1
RAB11A,TUBB4A,0-1,0,0,1,1
EXOSC8,PNPT1,0-1,1-0,0,1,0
CDK1,ZWINT,0,0-1,0,0,1
CDKN1A,HIF1A,0,1-0,1,1,0
CHST12,CSPG4,0-1,1-0,0,1,0
DAXX,SUMO1,0-1,1-0,0,1,0
CENPH,H2AFZ,0-1,1-0,0,1,0
CALR,HSP90B1,1-0,0-1,1,0,1
GGT1,GPX1,0-1,1-0,0,1,0
LSM2,LSM4,0-1,1-0,0,1,0
GNB4,LPAR3,0,1-0,1,1,0
RPS11,RPS3A,0-1,1-0,0,1,0
POLD2,PRIM1,0-1,1-0,0,1,0
RPL8,SNU13,0-1,1-0,0,1,0
HDAC1,KDM1A,1-0,0,1,0,0
ESF1,SSB,0-1,1-0,0,1,0
CDK1,YWHAE,0,0-1,0,0,1
ERCC1,FANCA,0,1-0,1,1,0
MRPL9,TUFM,0-1,1-0,0,1,0
ANAPC11,LRR1,0,1-0,1,1,0
RPS10,RPS15A,0-1,1-0,0,1,0
H2AFJ,UBE2C,0-1,0,0,1,1
ELAVL2,FIP1L1,0-1,1-0,0,1,0
CDC27,TRIM11,0-1,1-0,0,1,0
RPL24,RPL35,0-1,1-0,0,1,0
MRPL33,RPL10A,0,0-1,0,0,1
CUL3,RBCK1,0,1-0,1,1,0
CWC22,ELAVL2,0-1,1-0,0,1,0
GBP2,OASL,0,0-1,0,0,1
GRPEL2,HSPA13,0,1-0,1,1,0
DLAT,DLST,0-1,1-0,0,1,0
BCAR1,ZYX,0-1,1-0,0,1,0
RPS2,SEC61A1,0-1,1-0,0,1,0
NIFK,RRP12,0,1-0,1,1,0
NSA2,RPS3,0-1,1-0,0,1,0
PA2G4,PES1,0-1,1-0,0,1,0
PPP2R5D,SMC3,0-1,1-0,0,1,0
EIF2S2,EIF4B,0,1-0,1,1,0
NCAPG,RRM2,0,0-1,0,0,1
NSA2,RPS27L,1-0,0,1,0,0
DKC1,RSL24D1,1-0,0,1,0,0
NTSR1,TRH,0-1,1-0,0,1,0
HNRNPD,U2AF2,0-1,1-0,0,1,0
PFDN2,PFDN4,0-1,1-0,0,1,0
CKAP5,ZW10,0,1-0,1,1,0
NUP62,SRSF3,0-1,1-0,0,1,0
EXOSC5,RPS2,0,0-1,0,0,1
NME7,POLA2,0-1,1-0,0,1,0
ALYREF,SRSF1,0-1,1-0,0,1,0
RBM25,SRRM1,0-1,1-0,0,1,0
CDC20,SGO2,0,0-1,0,0,1
RPS7,RPS8,0-1,1-0,0,1,0
RPL3,RPS27L,1-0,0,1,0,0
MRPL38,MRPL58,0-1,1-0,0,1,0
EPN1,HGS,0-1,1-0,0,1,0
NOP14,PUM3,0-1,1-0,0,1,0
RPL29,RPS27A,0-1,1-0,0,1,0
CDK2,CEBPA,0,0-1,0,0,1
GSR,GSTA1,0,0,1,1,1
RUVBL1,ZNHIT1,0-1,1-0,0,1,0
RPL17,RPL3,0-1,1-0,0,1,0
SELENOP,TGFB1,0-1,1-0,0,1,0
FUS,SF1,0-1,1-0,0,1,0
CMTM6,CMTM8,1-0,0-1,1,0,1
ALAD,HMBS,1-0,0,1,0,0
COX4I1,UQCR10,0-1,1-0,0,1,0
LIG1,POLD4,0,1-0,1,1,0
RPL35,UBA52,0-1,1-0,0,1,0
EXOSC10,RRP9,0-1,1-0,0,1,0
HECTD1,RNF34,0-1,1-0,0,1,0
TPM3,VIM,0,1-0,1,1,0
MRPL16,MRPS10,0-1,1-0,0,1,0
DNAJA4,HSPA6,0-1,1-0,0,1,0
NSF,TMED2,0-1,1-0,0,1,0
ERCC2,FANCI,0-1,1-0,0,1,0
STX17,STX4,0-1,1-0,0,1,0
HIST1H2BD,RB1,0-1,0,0,1,1
POLD4,PRIM1,0,1-0,1,1,0
ADH7,ALDH1A3,0-1,1-0,0,1,0
BET1L,TMED9,0,1-0,1,1,0
COPS7A,GTF2H3,0-1,1-0,0,1,0
PSMD4,PTTG1,0-1,1-0,0,1,0
PGM2,PRPS2,0-1,1-0,0,1,0
DHX9,PCBP2,0-1,1-0,0,1,0
EXOSC10,UTP4,0-1,1-0,0,1,0
SEC24D,TMED2,0-1,1-0,0,1,0
SF3A2,TXNL4A,0-1,1-0,0,1,0
PSMA5,PSMB6,0-1,1-0,0,1,0
NEK2,TUBB4A,0-1,1-0,0,1,0
BUB3,PLK1,0-1,1-0,0,1,0
GNAI2,GNB4,0,1-0,1,1,0
HIST1H2BD,NCAPG2,0-1,1-0,0,1,0
NOC2L,NOL6,0-1,1-0,0,1,0
BIRC5,CASP7,0-1,1-0,0,1,0
RPS3,SEC11A,0-1,1-0,0,1,0
RAP1A,VWF,0,0-1,0,0,1
CLNS1A,TDRKH,0-1,0,0,1,1
MRPL16,MRPL18,0-1,1-0,0,1,0
ARFGAP1,RAB1B,0-1,0,0,1,1
OTUD5,TRIM25,0-1,1-0,0,1,0
PRKAR1A,RAPGEF4,0-1,1-0,0,1,0
COPG1,KLC2,0-1,1-0,0,1,0
FBL,NOC4L,0-1,1-0,0,1,0
CCAR1,CPSF2,0-1,1-0,0,1,0
APOB,COG2,0-1,0,0,1,1
FBXO32,SOCS3,0,0-1,0,0,1
POLR2L,RFC4,0-1,1-0,0,1,0
LYN,PIK3CD,0,0,1,1,1
RPS3,RPS7,0-1,1-0,0,1,0
RRM2,TFDP1,0,0-1,0,0,1
RPS25,RPS4X,0-1,0,0,1,1
PCNA,RRM2,0,0-1,0,0,1
MRPL32,MRPS9,0-1,1-0,0,1,0
PTBP1,TXNL4A,0,1-0,1,1,0
RPL29,RPS14,0-1,1-0,0,1,0
BCAR1,ESR1,0-1,1-0,0,1,0
CNIH1,TMED2,0-1,1-0,0,1,0
CCNA2,RRM2,0,0-1,0,0,1
ADCY3,GNB4,0-1,1-0,0,1,0
CTNNBL1,SNRPG,0-1,1-0,0,1,0
CENPE,PLK1,1-0,0,1,0,0
NCOA1,NCOR2,0-1,1-0,0,1,0
SEC16A,YKT6,0-1,1-0,0,1,0
NDC80,NUDC,0-1,1-0,0,1,0
RPL41,RPS10,0-1,1-0,0,1,0
AP2M1,EPN1,0-1,1-0,0,1,0
ITGB3BP,PPP1CC,0-1,1-0,0,1,0
HSPA9,TIMM44,0-1,1-0,0,1,0
ITGAM,SPON2,0,0-1,0,0,1
PPIL1,SNRNP27,0-1,1-0,0,1,0
CXCR6,GNAI2,0-1,1-0,0,1,0
FBL,HEATR1,0-1,1-0,0,1,0
AGPAT2,DGKZ,0-1,1-0,0,1,0
NUP37,ZW10,0,1-0,1,1,0
POLR2D,PQBP1,0-1,1-0,0,1,0
EIF1AX,RPL35A,0-1,1-0,0,1,0
RPL13A,RPS18,0-1,1-0,0,1,0
NDUFA4,NDUFV2,1-0,0,1,0,0
PLPP1,PNPLA2,0-1,1-0,0,1,0
AHSA1,PPIH,0-1,1-0,0,1,0
FBXL20,FBXO9,0-1,1-0,0,1,0
CPSF3,PPP1CA,0,1-0,1,1,0
AP1S1,AP1S2,0-1,0,0,1,1
MRPS10,RPS2,0-1,0,0,1,1
GNAQ,MCHR1,0-1,1-0,0,1,0
H2AFZ,UBTF,0-1,1-0,0,1,0
GDI2,RHOG,1-0,0,1,0,0
RPL29,RPS15A,1-0,0,1,0,0
ACAT2,ACLY,0-1,1-0,0,1,0
HNRNPR,SNRNP70,0-1,1-0,0,1,0
CTSZ,DNM2,0-1,0,0,1,1
ACAA1,CRYL1,0-1,1-0,0,1,0
NOP56,PES1,0-1,1-0,0,1,0
ELOA,GTF2H3,1-0,0,1,0,0
CENPE,NDC80,0-1,0,0,1,1
RPL13,RPL15,0-1,1-0,0,1,0
CUL1,UBAC1,0,0-1,0,0,1
CEBPZ,DDX56,0-1,1-0,0,1,0
HLA-DPB1,IRF6,0,1-0,1,1,0
IRF5,OASL,0-1,0,0,1,1
ARIH2,UBR4,0-1,1-0,0,1,0
ACTN1,MAGED2,0-1,1-0,0,1,0
MRPL1,RPS15,0-1,1-0,0,1,0
GAPDH,HSPD1,0-1,1-0,0,1,0
MRPS10,MRPS5,0-1,1-0,0,1,0
AKT1,PPP2R5A,0,0-1,0,0,1
PPIL1,SNRPC,0-1,1-0,0,1,0
MYH10,MYL6,0-1,1-0,0,1,0
HNRNPA2B1,LSM2,0-1,1-0,0,1,0
RPL29,RPL6,0-1,1-0,0,1,0
ACTB,ARPC1B,0-1,1-0,0,1,0
MRPL16,RPL26L1,0-1,1-0,0,1,0
BICD2,DCTN1,0-1,1-0,0,1,0
PLAUR,SERPINE2,0-1,1-0,0,1,0
POLDIP3,SRSF3,0-1,1-0,0,1,0
FBL,NOP56,0-1,1-0,0,1,0
GAB2,RHOA,0-1,1-0,0,1,0
ANAPC11,SMURF2,0,1-0,1,1,0
BMS1,PELP1,0-1,1-0,0,1,0
IMPA2,INPP4B,0-1,1-0,0,1,0
NOP9,SDAD1,0-1,1-0,0,1,0
ANAPC11,H2AFV,0-1,1-0,0,1,0
RPL17,RPS15,0-1,1-0,0,1,0
HDAC1,TFDP1,1-0,0,1,0,0
TGFB1,TGFBR2,0-1,1-0,0,1,0
CYP2J2,PLA2G2F,0-1,1-0,0,1,0
CSF2,PIK3CD,0-1,1-0,0,1,0
GRB2,NRAS,0-1,1-0,0,1,0
